Time(s), 3005.sourcebus.1, 3005.sourcebus.2, 3005.sourcebus.3, 3005.650.1, 3005.650.2, 3005.650.3, 3005.rg60.1, 3005.rg60.2, 3005.rg60.3, 3005.633.1, 3005.633.2, 3005.633.3, 3005.634.1, 3005.634.2, 3005.634.3, 3005.671.1, 3005.671.2, 3005.671.3, 3005.645.2, 3005.645.3, 3005.646.2, 3005.646.3, 3005.692.3, 3005.692.1, 3005.692.2, 3005.675.1, 3005.675.2, 3005.675.3, 3005.611.3, 3005.652.1, 3005.670.1, 3005.670.2, 3005.670.3, 3005.632.1, 3005.632.2, 3005.632.3, 3005.680.1, 3005.680.2, 3005.680.3, 3005.684.1, 3005.684.3, 3008.sourcebus.1, 3008.sourcebus.2, 3008.sourcebus.3, 3008.650.1, 3008.650.2, 3008.650.3, 3008.rg60.1, 3008.rg60.2, 3008.rg60.3, 3008.633.1, 3008.633.2, 3008.633.3, 3008.634.1, 3008.634.2, 3008.634.3, 3008.671.1, 3008.671.2, 3008.671.3, 3008.645.2, 3008.645.3, 3008.646.2, 3008.646.3, 3008.692.3, 3008.692.1, 3008.692.2, 3008.675.1, 3008.675.2, 3008.675.3, 3008.611.3, 3008.652.1, 3008.670.1, 3008.670.2, 3008.670.3, 3008.632.1, 3008.632.2, 3008.632.3, 3008.680.1, 3008.680.2, 3008.680.3, 3008.684.1, 3008.684.3
0.0, 0.9556, 0.9558, 0.9555, 0.9554, 0.9557, 0.9556, 1.0509, 1.0513, 1.0511, 1.0478, 1.0511, 1.0473, 1.0303, 1.0375, 1.0336, 1.0462, 1.0534, 1.0453, 1.0503, 1.0473, 1.0501, 1.0471, 1.0453, 1.0462, 1.0534, 1.0456, 1.0537, 1.0451, 1.0449, 1.0453, 1.0475, 1.0519, 1.0467, 1.0481, 1.0513, 1.0476, 1.0462, 1.0534, 1.0453, 1.046, 1.0451, 0.9132, 0.9134, 0.9131, 0.913, 0.9134, 0.9132, 1.0043, 1.0047, 1.0045, 1.0004, 1.0042, 0.9996, 0.9799, 0.9882, 0.9835, 0.9983, 1.0066, 0.9966, 1.0033, 0.9997, 1.0031, 0.9994, 0.9966, 0.9983, 1.0066, 0.9975, 1.0069, 0.9965, 0.9962, 0.9973, 1.0, 1.005, 0.9987, 1.0008, 1.0044, 0.9999, 0.9983, 1.0066, 0.9966, 0.998, 0.9964
0.0042, 0.9613, 0.9615, 0.9612, 0.9611, 0.9614, 0.9613, 1.0572, 1.0515, 1.0574, 1.0541, 1.0514, 1.0536, 1.0368, 1.0377, 1.04, 1.0525, 1.0537, 1.0516, 1.0506, 1.0537, 1.0504, 1.0534, 1.0516, 1.0525, 1.0537, 1.052, 1.054, 1.0515, 1.0513, 1.0517, 1.0538, 1.0522, 1.053, 1.0544, 1.0516, 1.0539, 1.0525, 1.0537, 1.0516, 1.0523, 1.0515, 0.9267, 0.9268, 0.9265, 0.9265, 0.9268, 0.9267, 1.019, 1.0194, 1.0193, 1.0152, 1.019, 1.0144, 0.9951, 1.0032, 0.9986, 1.0132, 1.0214, 1.0116, 1.0181, 1.0145, 1.0179, 1.0143, 1.0116, 1.0132, 1.0214, 1.0124, 1.0217, 1.0114, 1.0112, 1.0122, 1.0149, 1.0199, 1.0136, 1.0156, 1.0192, 1.0148, 1.0132, 1.0214, 1.0116, 1.0129, 1.0114
0.0042, 0.9613, 0.9615, 0.9612, 0.9611, 0.9614, 0.9613, 1.0572, 1.0515, 1.0574, 1.0541, 1.0514, 1.0536, 1.0368, 1.0377, 1.04, 1.0526, 1.0537, 1.0517, 1.0506, 1.0537, 1.0504, 1.0535, 1.0517, 1.0526, 1.0537, 1.052, 1.054, 1.0516, 1.0514, 1.0517, 1.0539, 1.0522, 1.053, 1.0545, 1.0516, 1.0539, 1.0526, 1.0537, 1.0517, 1.0523, 1.0515, 0.9267, 0.9268, 0.9265, 0.9265, 0.9268, 0.9267, 1.019, 1.0194, 1.0193, 1.0153, 1.019, 1.0145, 0.9951, 1.0033, 0.9986, 1.0132, 1.0214, 1.0117, 1.0181, 1.0145, 1.0179, 1.0143, 1.0117, 1.0132, 1.0214, 1.0125, 1.0217, 1.0115, 1.0112, 1.0123, 1.0149, 1.0199, 1.0136, 1.0156, 1.0193, 1.0148, 1.0132, 1.0214, 1.0117, 1.013, 1.0114
0.0083, 0.9613, 0.9615, 0.9612, 0.9611, 0.9615, 0.9613, 1.0572, 1.0515, 1.0574, 1.0542, 1.0514, 1.0537, 1.0368, 1.0378, 1.04, 1.0526, 1.0538, 1.0517, 1.0506, 1.0537, 1.0504, 1.0535, 1.0517, 1.0526, 1.0538, 1.052, 1.0541, 1.0516, 1.0514, 1.0517, 1.0539, 1.0522, 1.0531, 1.0545, 1.0516, 1.0539, 1.0526, 1.0538, 1.0517, 1.0524, 1.0516, 0.9267, 0.9269, 0.9265, 0.9265, 0.9268, 0.9267, 1.019, 1.0195, 1.0193, 1.0153, 1.019, 1.0145, 0.9951, 1.0033, 0.9986, 1.0132, 1.0215, 1.0117, 1.0181, 1.0146, 1.0179, 1.0143, 1.0117, 1.0132, 1.0215, 1.0125, 1.0218, 1.0115, 1.0113, 1.0123, 1.0149, 1.0199, 1.0136, 1.0157, 1.0193, 1.0148, 1.0132, 1.0215, 1.0117, 1.013, 1.0115
0.0083, 0.9613, 0.9615, 0.9612, 0.9611, 0.9615, 0.9613, 1.0572, 1.0515, 1.0574, 1.0542, 1.0514, 1.0537, 1.0368, 1.0378, 1.0401, 1.0527, 1.0538, 1.0518, 1.0506, 1.0537, 1.0504, 1.0535, 1.0518, 1.0527, 1.0538, 1.0521, 1.0541, 1.0516, 1.0514, 1.0518, 1.0539, 1.0523, 1.0531, 1.0545, 1.0516, 1.054, 1.0527, 1.0538, 1.0518, 1.0524, 1.0516, 0.9267, 0.9269, 0.9265, 0.9265, 0.9268, 0.9267, 1.0191, 1.0195, 1.0193, 1.0153, 1.019, 1.0145, 0.9951, 1.0033, 0.9987, 1.0133, 1.0215, 1.0117, 1.0182, 1.0146, 1.0179, 1.0143, 1.0117, 1.0133, 1.0215, 1.0126, 1.0218, 1.0116, 1.0113, 1.0123, 1.0149, 1.0199, 1.0136, 1.0157, 1.0193, 1.0148, 1.0133, 1.0215, 1.0117, 1.013, 1.0115
0.0125, 0.9613, 0.9615, 0.9612, 0.9612, 0.9615, 0.9613, 1.0572, 1.0516, 1.0574, 1.0542, 1.0514, 1.0537, 1.0369, 1.0378, 1.0401, 1.0527, 1.0538, 1.0518, 1.0507, 1.0538, 1.0505, 1.0535, 1.0518, 1.0527, 1.0538, 1.0521, 1.0541, 1.0517, 1.0515, 1.0518, 1.054, 1.0523, 1.0531, 1.0545, 1.0517, 1.054, 1.0527, 1.0538, 1.0518, 1.0525, 1.0516, 0.9267, 0.9269, 0.9265, 0.9265, 0.9268, 0.9267, 1.0191, 1.0195, 1.0193, 1.0153, 1.0191, 1.0145, 0.9952, 1.0033, 0.9987, 1.0133, 1.0215, 1.0118, 1.0182, 1.0146, 1.018, 1.0143, 1.0118, 1.0133, 1.0215, 1.0126, 1.0218, 1.0116, 1.0114, 1.0124, 1.015, 1.0199, 1.0137, 1.0157, 1.0193, 1.0148, 1.0133, 1.0215, 1.0118, 1.0131, 1.0116
0.0125, 0.9613, 0.9615, 0.9612, 0.9612, 0.9615, 0.9613, 1.0572, 1.0516, 1.0574, 1.0542, 1.0515, 1.0537, 1.0369, 1.0378, 1.0401, 1.0527, 1.0539, 1.0519, 1.0507, 1.0538, 1.0505, 1.0536, 1.0519, 1.0527, 1.0539, 1.0522, 1.0542, 1.0517, 1.0515, 1.0519, 1.054, 1.0523, 1.0532, 1.0546, 1.0517, 1.054, 1.0527, 1.0539, 1.0519, 1.0525, 1.0517, 0.9267, 0.9269, 0.9265, 0.9265, 0.9268, 0.9267, 1.0191, 1.0195, 1.0193, 1.0153, 1.0191, 1.0145, 0.9952, 1.0033, 0.9987, 1.0134, 1.0216, 1.0118, 1.0182, 1.0146, 1.018, 1.0144, 1.0118, 1.0134, 1.0216, 1.0126, 1.0219, 1.0116, 1.0114, 1.0124, 1.015, 1.02, 1.0137, 1.0157, 1.0193, 1.0149, 1.0134, 1.0216, 1.0118, 1.0131, 1.0116
0.0167, 0.9613, 0.9615, 0.9612, 0.9612, 0.9615, 0.9613, 1.0572, 1.0516, 1.0574, 1.0543, 1.0515, 1.0538, 1.0369, 1.0378, 1.0401, 1.0528, 1.0539, 1.0519, 1.0507, 1.0538, 1.0505, 1.0536, 1.0519, 1.0528, 1.0539, 1.0522, 1.0542, 1.0518, 1.0516, 1.0519, 1.054, 1.0523, 1.0532, 1.0546, 1.0517, 1.054, 1.0528, 1.0539, 1.0519, 1.0526, 1.0517, 0.9267, 0.9269, 0.9265, 0.9265, 0.9268, 0.9267, 1.0191, 1.0195, 1.0193, 1.0154, 1.0191, 1.0146, 0.9952, 1.0033, 0.9987, 1.0134, 1.0216, 1.0119, 1.0182, 1.0146, 1.018, 1.0144, 1.0119, 1.0134, 1.0216, 1.0127, 1.0219, 1.0117, 1.0114, 1.0125, 1.015, 1.02, 1.0137, 1.0157, 1.0193, 1.0149, 1.0134, 1.0216, 1.0119, 1.0131, 1.0116
0.0167, 0.9613, 0.9615, 0.9612, 0.9612, 0.9615, 0.9613, 1.0572, 1.0516, 1.0574, 1.0543, 1.0515, 1.0538, 1.0369, 1.0379, 1.0402, 1.0528, 1.0539, 1.0519, 1.0507, 1.0538, 1.0505, 1.0536, 1.0519, 1.0528, 1.0539, 1.0523, 1.0542, 1.0518, 1.0516, 1.052, 1.0541, 1.0524, 1.0532, 1.0546, 1.0517, 1.0541, 1.0528, 1.0539, 1.0519, 1.0526, 1.0518, 0.9267, 0.9269, 0.9265, 0.9265, 0.9268, 0.9267, 1.0191, 1.0195, 1.0193, 1.0154, 1.0191, 1.0146, 0.9952, 1.0034, 0.9988, 1.0134, 1.0216, 1.0119, 1.0182, 1.0147, 1.018, 1.0144, 1.0119, 1.0134, 1.0216, 1.0127, 1.0219, 1.0117, 1.0115, 1.0125, 1.015, 1.02, 1.0138, 1.0158, 1.0194, 1.0149, 1.0134, 1.0216, 1.0119, 1.0132, 1.0117
0.0208, 0.9613, 0.9615, 0.9612, 0.9612, 0.9615, 0.9614, 1.0572, 1.0516, 1.0574, 1.0543, 1.0515, 1.0538, 1.037, 1.0379, 1.0402, 1.0529, 1.054, 1.052, 1.0507, 1.0539, 1.0505, 1.0536, 1.052, 1.0529, 1.054, 1.0523, 1.0543, 1.0519, 1.0517, 1.052, 1.0541, 1.0524, 1.0533, 1.0546, 1.0517, 1.0541, 1.0529, 1.054, 1.052, 1.0527, 1.0518, 0.9267, 0.9269, 0.9265, 0.9265, 0.9268, 0.9267, 1.0191, 1.0195, 1.0193, 1.0154, 1.0191, 1.0146, 0.9952, 1.0034, 0.9988, 1.0135, 1.0216, 1.0119, 1.0182, 1.0147, 1.018, 1.0144, 1.0119, 1.0135, 1.0216, 1.0128, 1.0219, 1.0118, 1.0115, 1.0125, 1.0151, 1.02, 1.0138, 1.0158, 1.0194, 1.0149, 1.0135, 1.0216, 1.0119, 1.0132, 1.0117
